mob_name,family,resolved_flags,resolved_from,mob_page_flags,family_page_flags,sighting_flags,ge_aggressive,flags_gloss
Kobold Vestryman,Kobold,"A, S",family-page,,"A, S",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Kokoroon Quickfingers,Qiqirn,P,family-page,,P,P,x,passive - does not attack unless engaged
Kraken Deckhand,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Ladybug,Beetle,P,sighting,,,P,,passive - does not attack unless engaged
Lake Crab,Crab,"P, H",family-page,,"P, H",P,,passive - does not attack unless engaged; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement
Lammergeyer,Vulture,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Land Angler,Angler,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Laughing Mongrel,Wolf,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Lava Drake,Drake,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Lead Coblyn,Coblyn,P,family-page,,P,P,,passive - does not attack unless engaged
Lemur,Opo-opo,P,family-page,,P,P,,passive - does not attack unless engaged
Lightning Beetle,Firefly,,,,,,,
Lightning Elemental,Elemental,"A, H",family-page,,"A, H","A, P",Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Lily of the Vale,Landtrap,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Lindwurm,Raptor,"A, S, L",family-page,,"A, S, L",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight; links - helps other mobs of its own kind"
Little Apkallu,Apkallu,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Lone Coeurl,Coeurl,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Lone Wolf,Wolf,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Longclaw Galago,Opo-opo,P,family-page,,P,P,,passive - does not attack unless engaged
Longhorn Billygoat,Aldgoat,P,family-page,,P,A,Y,passive - does not attack unless engaged
Longhorn Nannygoat,Aldgoat,P,family-page,,P,A,Y,passive - does not attack unless engaged
Lost Ewe,Ram,P,sighting,,,P,,passive - does not attack unless engaged
Lost Lamb,Ram,,,,,,,
Lost Wether,Ram,P,sighting,,,P,,passive - does not attack unless engaged
Loverly Ladybird,Beetle,P,sighting,,,P,,passive - does not attack unless engaged
Lowland Billygoat,Aldgoat,P,family-page,,P,P,,passive - does not attack unless engaged
Lowland Nannygoat,Aldgoat,P,family-page,,P,P,,passive - does not attack unless engaged
Lunar Fragment,Unknown,P,sighting,,,P,,passive - does not attack unless engaged
Lunar Golem,Golem,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Lunging Lemur,Opo-opo,P,family-page,,P,,,passive - does not attack unless engaged
Mad Angler,Angler,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Mad Karakul Ewe,Ram,A,mob-page,A,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Magicked Bones,Wight,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Magitek Transmitter,Unknown,P,sighting,,,P,,passive - does not attack unless engaged
Magitek Vanguard,Magitek Armor,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Magitek Vanguard F-1,Magitek Armor,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Magitek Vanguard H-1,Magitek Armor,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Maidenbug,Beetle,P,sighting,,,P,,passive - does not attack unless engaged
Maned Wyrmhound,Basilisk,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Manipulated Eye,Ahriman,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Manipulated Ogre,Ogre,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Marshlight,Wisp,A,sighting,,,A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Megalocrab,Crab,"P, H",family-page,,"P, H",P,,passive - does not attack unless engaged; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement
Mickle Mouse,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Midge Cloud,Swarm,,,,,,,
Migrating Doe,Antelope,P,sighting,,,P,,passive - does not attack unless engaged
Mildewed Goobbue,Goobbue,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Mirror Roselet,Landtrap,"A, H",family-page,,"A, H",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Mistbeard Buccaneer,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Miteling,Diremite,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Miteling Straggler,Diremite,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Mitetrap,Landtrap,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Moiling Mole,Mole,P,family-page,,P,P,,passive - does not attack unless engaged
Molting Megalocrab,Crab,"P, H",family-page,,"P, H",P,,passive - does not attack unless engaged; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement
Molting Miteling,Diremite,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Moon-eared Mouse,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Moon-eyed Mouse,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Moon-toothed Mouse,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Moonblind Dodo,Cockatrice,P,sighting,,,P,,passive - does not attack unless engaged
Moraby Mole,Mole,P,family-page,,P,P,,passive - does not attack unless engaged
Morbol,Morbol,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Mosshorn Billygoat,Aldgoat,P,family-page,,P,A,x,passive - does not attack unless engaged
Mosshorn Nannygoat,Aldgoat,P,family-page,,P,A,x,passive - does not attack unless engaged
Mossy Goobbue,Goobbue,"A, H",mob-page,"A, H","A, H","A, H",x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Mottled Eft,Salamander,"A, H",family-page,,"A, H",P,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Mountain Peiste,Basilisk,,,,,,,
Mudpuppy,Salamander,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Mummer's Lantern,Wisp,P,sighting,,,P,,passive - does not attack unless engaged
Mun-Tuy Sapling,Landtrap,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Mun-Tuy Squirrel,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Musk Roseling,Landtrap,"A, H",family-page,,"A, H",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Musk Stag,Antelope,P,sighting,,,P,,passive - does not attack unless engaged
Myrmidon Drone,Antling,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Myrmidon Guard,Antling,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Myrmidon Princess,Antling,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Myrmidon Sentry,Antling,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Myrmidon Soldier,Antling,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Naked Mole,Mole,P,family-page,,P,P,,passive - does not attack unless engaged
Napalm,Bomb,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Natalan,Ixal,"A, S",family-page,,"A, S",,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Natalan Boneknitter,Ixal,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Natalan Gatekeeper,Ixal,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Natalan Logsplitter,Ixal,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Natalan Pikecarver,Ixal,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Natalan Sentry,Ixal,"A, S",family-page,,"A, S",,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Natalan Sentry,Ixal,"A, S",family-page,,"A, S",,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Natalan Sentry,Ixal,"A, S",family-page,,"A, S",,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Natalan Sentry,Ixal,"A, S",family-page,,"A, S",,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Natalan Wolftamer,Ixal,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Needletail,Diremite,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Nest Commander,Antling,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Nestling Buzzard,Vulture,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Nether Nix,Toad,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Nibbled Toadstool,Funguar,P,family-page,,P,P,,passive - does not attack unless engaged
Nightblade Assassin,Enemy Humanoid,"A, S",family-page,,"A, S",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Nightwolf,Wolf,,,,,,,
Nix,Toad,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Northern Eft,Salamander,"A, H",family-page,,"A, H",P,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Nut Nibbler,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Nutbiter Marmot,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Nutbreaker Squirrel,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Nutcracker Squirrel,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Nutgrabber Marmot,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Ocean Roseling,Landtrap,"A, H",family-page,,"A, H",,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Oilbug,Beetle,P,sighting,,,P,,passive - does not attack unless engaged
Old Six-arms,Crab,"P, H",family-page,,"P, H",P,,passive - does not attack unless engaged; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement
Opo-Opo,Opo-opo,P,family-page,,P,,,passive - does not attack unless engaged
Ornery Karakul Ewe,Ram,P,sighting,,,P,,passive - does not attack unless engaged
Orobon,Angler,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Ossuary Almstaker,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Pack Rat,Rodent,P,family-page,,P,,,passive - does not attack unless engaged
Painted Ladybug,Beetle,P,sighting,,,P,,passive - does not attack unless engaged
Palemoon Parazuzu,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Peiste Familiar,Basilisk,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Phaia,Boar,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Phantasma,Ghost,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Pharosfly,Firefly,,,,,,,
Phurble,Snurble,P,sighting,,,P,,passive - does not attack unless engaged
Plague Djigga,Chigoe,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Plague Rat,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Plain Pudding,Flan,"A, H",family-page,,"A, H",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Plains Footpad,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Plains Rat,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Plasma Spark,Plasmoid,"A, H",family-page,,"A, H",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Plasmoid,Plasmoid,"A, H",family-page,,"A, H",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Poison Flytrap,Landtrap,"A, H",family-page,,"A, H",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Poisoned Peasant,Ghost,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Popoto-opoto,Opo-opo,P,family-page,,P,P,,passive - does not attack unless engaged
Porcupine,Mole,P,family-page,,P,P,,passive - does not attack unless engaged
Prince of Pestilence,Gnat,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Princess of Pestilence,Gnat,"A, TH",family-page,,"A, TH",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Prison Pteroc,Puk,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Prison Pudding,Flan,"A, H",family-page,,"A, H",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Pruned Roselet,Landtrap,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Pteroc Matron,Puk,P,sighting,,,P,,passive - does not attack unless engaged
Pteroctrap,Landtrap,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Pugot,Boar,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Puk,Puk,,,,,,,
Puk Hatchling,Puk,P,sighting,,,P,,passive - does not attack unless engaged
Pukla Puki the Pomburner,Moogle,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Pukna Pako the Tailturner,Moogle,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Puksi Piko the Shaggysong,Moogle,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Puroboros,Bomb,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Pus Gnat,Gnat,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Pygmy Dormouse,Rodent,P,family-page,,P,P,,passive - does not attack unless engaged
Pyrausta,Puk,,,,,,,
Pyro,Imp,,,,,,x,
Qiqirn Beater,Qiqirn,P,family-page,,P,P,,passive - does not attack unless engaged
Qiqirn Egg Hunter,Qiqirn,P,family-page,,P,P,,passive - does not attack unless engaged
Qiqirn Goon,Qiqirn,P,family-page,,P,P,,passive - does not attack unless engaged
Qiqirn Mercenary,Qiqirn,P,family-page,,P,,,passive - does not attack unless engaged
Qiqirn Poacher,Qiqirn,P,family-page,,P,P,,passive - does not attack unless engaged
Qiqirn Scrambler,Qiqirn,P,family-page,,P,P,,passive - does not attack unless engaged
Qiqirn Shirrer,Qiqirn,P,family-page,,P,,,passive - does not attack unless engaged
Quartz Doblyn,Coblyn,P,family-page,,P,P,,passive - does not attack unless engaged
Queen Bolete,Funguar,P,family-page,,P,P,x,passive - does not attack unless engaged
Queen Gougou,Opo-opo,P,family-page,,P,P,,passive - does not attack unless engaged
Quicksand Peiste,Basilisk,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Rabid Coywolf,Wolf,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Rabid Dodo,Cockatrice,P,sighting,,,P,,passive - does not attack unless engaged
Rabid Jackal,Wolf,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Ragged Hippocerf,Hippogryph,"A, TH",family-page,,"A, TH",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Raging Ram,Ram,P,sighting,,,P,,passive - does not attack unless engaged
Rainbow Basilisk,Basilisk,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Ranig'oh,Drake,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Raptor Poacher,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Rat Mole,Mole,P,family-page,,P,P,,passive - does not attack unless engaged
Ravenous Billygoat,Aldgoat,P,family-page,,P,P,,passive - does not attack unless engaged
Ravenous Nannygoat,Aldgoat,P,family-page,,P,P,,passive - does not attack unless engaged
Razor Plume,Unknown,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Razorback,Boar,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Rebel,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Recluse Hippogryph,Hippogryph,"A, TH",family-page,,"A, TH",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Red Dewflower Sylph,Sylph,,,,,,,
Redhorn Ogre,Ogre,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Redwing Ked,Gnat,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Reef Angler,Angler,"A, TH",family-page,,"A, TH",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Remora,Angler,"A, TH",family-page,,"A, TH",,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Revenant,Ghost,A,sighting,,,A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Rift Angler,Angler,"A, TH",family-page,,"A, TH",,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by true hearing"
Ringtail,Opo-opo,P,family-page,,P,P,,passive - does not attack unless engaged
Ringtail Pteroc,Puk,,,,,,,
Ripe Shrieker,Funguar,P,family-page,,P,P,,passive - does not attack unless engaged
Roadrunner,Cockatrice,P,sighting,,,P,,passive - does not attack unless engaged
Roadside Bewitcher,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Roadside Bludgeoner,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Roadside Poacher,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Roadside Stabber,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Roadside Tracker,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Roadside Trapper,Enemy Humanoid,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Rock Crab,Crab,"P, H",family-page,,"P, H",P,,passive - does not attack unless engaged; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement
Rorogun the Tailtamer,Enemy Humanoid,"A, S",family-page,,"A, S",,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Roselet,Landtrap,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Roseling,Landtrap,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Rotting Corpse,Fomor,A,sighting,,,A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Rubyscale Pteroc,Puk,,,,,,,
Ruffletuft Kupta Kapa,Moogle,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Runagate Imp,Imp,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Sabletooth Spriggan,Spriggan,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Sabotender,Cactuar,P,family-page,,P,P,,passive - does not attack unless engaged
Sabotender Del Sol,Cactuar,P,family-page,,P,P,,passive - does not attack unless engaged
Salamander,Salamander,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Salt Hare,Slug,P,sighting,,,P,,passive - does not attack unless engaged
Saltspray Pteroc,Puk,P,sighting,,,P,,passive - does not attack unless engaged
Sand Bat,Bat,"A, H",family-page,,"A, H",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Sand Slug,Slug,P,sighting,,,P,,passive - does not attack unless engaged
Sand Yarzon,Yarzon,"A, H",family-page,,"A, H",A,,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Sandskin Peiste,Basilisk,A,sighting,,,A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Sandstorm,Swarm,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Sargas,Diremite,"A, H",family-page,,"A, H",,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Sazel Ciloc the Divine,Ixal,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Scalepuk,Puk,,,,,,,
Scarred Kalong,Bat,"A, H",family-page,,"A, H",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Scarred Watchwolf,Wolf,A,sighting,,,A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
Scout Vulture,Vulture,"A, S",family-page,,"A, S",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Scout Wolf,Wolf,"A, P",sighting-conflict,,,"A, P",Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; passive - does not attack unless engaged"
Scrambling Spriggan,Spriggan,P,mob-page,P,"A, S",P,,passive - does not attack unless engaged
Screamer,Funguar,P,family-page,,P,,,passive - does not attack unless engaged
